AREA,PERIMETER,UNIQUEID,SCHEDULERE,SURVEYORCO,WATERSEDGE,ZONETYPE,ZONESUBTYP,CLAUSE,SURVEYDATE,FTYPE_CODE,WATERWAY_I,SCHEDULE_T,DISPLAY_HE,DISPLAY_TE,CONDITIONA,CONDITIO_1,CREATION_T,DISPLAY_RE,DISPLAY_IC,ZONEID,SURVEYORNA,Shape_Leng,Shape_Area,longitude,latitude
5.39E-07,0.004473797,Green Hill Lake,54,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,1/12/2011,,25,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 054, Clause 5",SkiingPermitted.png,054-1,Tad Knaggs,0.004473798,5.39E-07,142.977022,-37.295781
7.38E-07,0.003808684,Gunbower Creek,73,Geomatic Technologies,VicMap Modified,Access Lane - Water Skiing,Not Applicable,5,16/12/2011,,26,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 073, Clause 5",SkiingPermitted.png,073-2,Tad Knaggs,0.003808684,7.38E-07,144.252108,-35.807029
2.01E-07,0.001947121,Hamilton Lake,38,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,3/5/2012,,27,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 038, Clause 5",SkiingPermitted.png,038-4.a,Tad Knaggs,0.001947121,2.01E-07,142.039779,-37.733434
1.47E-07,0.001584818,Hamilton Lake,38,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,3/5/2012,,27,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 038, Clause 5",SkiingPermitted.png,038-4.b,Tad Knaggs,0.001584818,1.47E-07,142.037475,-37.73477
2.95E-07,0.002271165,Kangaroo Lake,140,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,11/7/2011,,30,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 140, Clause 5",SkiingPermitted.png,140-1.a,Tad Knaggs,0.002271164,2.95E-07,143.76792,-35.554551
3.76E-07,0.002568838,Kangaroo Lake,140,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,11/7/2011,,30,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 140, Clause 5",SkiingPermitted.png,140-1.b,Tad Knaggs,0.002568837,3.76E-07,143.767371,-35.554613
7.22E-07,0.003853655,Kangaroo Lake,140,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,11/7/2011,,30,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 140, Clause 5",SkiingPermitted.png,140-1.c,Tad Knaggs,0.003853656,7.22E-07,143.766477,-35.590244
2.66E-07,0.002085228,Kangaroo Lake,140,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,11/7/2011,,30,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 140, Clause 5",SkiingPermitted.png,140-1.d,Tad Knaggs,0.002085229,2.66E-07,143.766752,-35.594188
2.36E-07,0.002282316,Laanecoorie,65,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,25/07/2011,,32,,Access Lane - Water Skiing,,1,,AUTO,"Refer to Schedule 065, Clause 5",SkiingPermitted.png,065-1 (>31.5%),Tad Knaggs,0.002282316,2.36E-07,143.887268,-36.835573
2.47E-07,0.002003861,Lake Charm,139,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,21/07/2011,,34,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 139, Clause 5",SkiingPermitted.png,139-1.a,Tad Knaggs,0.002003861,2.47E-07,143.813909,-35.601544
2.47E-07,0.002015775,Lake Charm,139,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,21/07/2011,,34,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 139, Clause 5",SkiingPermitted.png,139-1.b,Tad Knaggs,0.002015775,2.47E-07,143.812669,-35.609199
3.68E-07,0.002442933,Lake Charm,139,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,21/07/2011,,34,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 139, Clause 5",SkiingPermitted.png,139-1.c,Tad Knaggs,0.002442933,3.68E-07,143.813681,-35.607716
1.75E-05,0.022491101,Lake Eildon,90,Geomatic Technologies,VicMap Modified,No Wash,Not Applicable,11,4/5/2009,,37,,No Wash,,0,,AUTO,"Refer to Schedule 090, Clause 11",NA.png,090-4.c,Brad Griffiths,0.022491102,1.75E-05,145.923243,-37.218464
6.25E-06,0.010499167,Lake Hume,95,Geomatic Technologies,VicMap Modified,Access Lane - Water Skiing,Not Applicable,5,12/5/2008,,41,,Access Lane - Water Skiing,,1,,AUTO,"Refer to Schedule 095, Clause 5",SkiingPermitted.png,095-1_(>10%),Jamie Portman,0.010499165,6.25E-06,147.05109,-36.090146
2.11E-06,0.007936205,Learmonth Lake,64,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,27/02/2012,,46,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 064, Clause 5",SkiingPermitted.png,064-1.a,Tad Knaggs,0.007936205,2.11E-06,143.705592,-37.421925
3.39E-06,0.010562011,Learmonth Lake,64,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,21/05/2012,,46,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 064, Clause 5",SkiingPermitted.png,064-1.b,Tad Knaggs,0.01056201,3.39E-06,143.723396,-37.431187
1.75E-06,0.006571718,Learmonth Lake,64,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,27/02/2012,,46,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 064, Clause 5",SkiingPermitted.png,064-1.c,Tad Knaggs,0.006571718,1.75E-06,143.695922,-37.444936
