AREA,PERIMETER,UNIQUEID,SCHEDULERE,SURVEYORCO,WATERSEDGE,ZONETYPE,ZONESUBTYP,CLAUSE,SURVEYDATE,FTYPE_CODE,WATERWAY_I,SCHEDULE_T,DISPLAY_HE,DISPLAY_TE,CONDITIONA,CONDITIO_1,CREATION_T,DISPLAY_RE,DISPLAY_IC,ZONEID,SURVEYORNA,Shape_Leng,Shape_Area
0.00000019960,0.00160099199,Bolac-Lake_0007,"040",Geomatic Technologies,VicMap,Vessels Prohibited,All Vessels,"9",17/06/2011,,77.00000000000,,Vessels Prohibited (All Vessels),,"0",,,"Refer to Schedule 040, Clause 9",NoBoating.png,040-3.a,Tad Knaggs,0.00160099196,0.00000019960
0.00000062496,0.00342959254,Bolac-Lake_0008,"040",Geomatic Technologies,VicMap,Vessels Prohibited,All Vessels,"9",17/06/2011,,77.00000000000,,Vessels Prohibited (All Vessels),,"0",,,"Refer to Schedule 040, Clause 9",NoBoating.png,040-3.b,Tad Knaggs,0.00342959202,0.00000062496
0.00000132137,0.00534320833,Bolac-Lake_0003,"040",Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,"5",17/06/2011,,77.00000000000,,Access Lane - Water Skiing,,"0",,,"Refer to Schedule 040, Clause 5",SkiingPermitted.png,040-1.c,Tad Knaggs,0.00534320799,0.00000132137
0.00000411081,0.01485203134,Bolac-Lake_0010,"040",Geomatic Technologies,VicMap,Vessels Prohibited,All Vessels,"9",17/06/2011,,77.00000000000,,Vessels Prohibited (All Vessels),,"0",,,"Refer to Schedule 040, Clause 9",NoBoating.png,040-3.c.ii,Tad Knaggs,0.01485203165,0.00000411081
0.00000305794,0.01238203721,Bolac-Lake_0009,"040",Geomatic Technologies,VicMap,Vessels Prohibited,All Vessels,"9",17/06/2011,,77.00000000000,,Vessels Prohibited (All Vessels),,"0",,,"Refer to Schedule 040, Clause 9",NoBoating.png,040-3.c.i,Tad Knaggs,0.01238203903,0.00000305794
0.00000007740,0.00125871061,BridgewaterLakes_0001,"134",Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,"5",29/11/2011,,9.00000000000,,Access Lane - Water Skiing,,"0",,AUTO,"Refer to Schedule 134, Clause 5",SkiingPermitted.png,134-2.a,Tad Knaggs,0.00125871136,0.00000007740
0.00000006889,0.00107487379,BridgewaterLakes_0002,"134",Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,"5",29/11/2011,,9.00000000000,,Access Lane - Water Skiing,,"0",,AUTO,"Refer to Schedule 134, Clause 5",SkiingPermitted.png,134-2.b,Tad Knaggs,0.00107487213,0.00000006889
0.00000003433,0.00082865172,BridgewaterLakes_0004,"134",Geomatic Technologies,VicMap,Vessels Prohibited,All Vessels,"9",29/11/2011,,9.00000000000,,Vessels Prohibited (All Vessels),,"0",,AUTO,"Refer to Schedule 134, Clause 9",NoBoating.png,134-4,Tad Knaggs,0.00082865258,0.00000003433
0.00000098662,0.00467149024,Buffalo-Lake_0001,"096",Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,"5",29/07/2011,,10.00000000000,,Access Lane - Water Skiing,,"0",,AUTO,"Refer to Schedule 096, Clause 5",SkiingPermitted.png,096-1.a,Tad Knaggs,0.00467148961,0.00000098662
0.00000061648,0.00335498677,Buffalo-Lake_0002,"096",Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,"5",29/07/2011,,10.00000000000,,Access Lane - Water Skiing,,"0",,AUTO,"Refer to Schedule 096, Clause 5",SkiingPermitted.png,096-1.b,Tad Knaggs,0.00335498666,0.00000061648
